"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 09, 2017","184.85","175.00","185.75","175.00","19.00M","5.21%"
"Jun 08, 2017","175.70","175.60","179.00","171.40","13.80M","0.77%"
"Jun 07, 2017","174.35","176.00","179.55","172.75","10.82M","-0.54%"
"Jun 06, 2017","175.30","178.00","178.50","171.70","8.79M","-0.90%"
"Jun 05, 2017","176.90","175.45","179.50","174.95","7.35M","0.68%"
"Jun 02, 2017","175.70","177.45","178.30","174.40","8.46M","-0.59%"
"Jun 01, 2017","176.75","179.95","181.40","175.60","9.27M","-1.56%"
"May 31, 2017","179.55","178.90","183.65","176.75","10.47M","-0.25%"
"May 30, 2017","180.00","175.00","180.90","170.20","18.27M","2.39%"
"May 29, 2017","175.80","188.00","192.70","174.90","19.08M","-9.38%"
"May 26, 2017","194.00","195.40","197.20","192.40","9.50M","-0.49%"
"May 25, 2017","194.95","191.00","196.20","188.05","14.05M","2.42%"
"May 24, 2017","190.35","197.50","199.35","186.60","14.48M","-3.42%"
"May 23, 2017","197.10","207.00","207.00","192.55","16.99M","-3.90%"
"May 22, 2017","205.10","210.00","211.35","204.05","7.75M","-1.20%"
"May 19, 2017","207.60","209.50","212.60","200.45","11.08M","-0.05%"
"May 18, 2017","207.70","212.00","213.90","206.50","11.47M","-3.42%"
"May 17, 2017","215.05","211.80","216.00","210.50","9.09M","1.20%"
"May 16, 2017","212.50","210.00","213.70","208.30","11.59M","0.95%"
"May 15, 2017","210.50","209.65","211.90","207.30","12.61M","1.03%"
"May 12, 2017","208.35","202.45","209.75","197.10","21.74M","2.71%"
"May 11, 2017","202.85","199.85","206.30","199.00","13.52M","1.73%"
"May 10, 2017","199.40","200.90","201.10","196.25","7.08M","-0.05%"
"May 09, 2017","199.50","198.50","203.30","198.00","17.75M","1.24%"
"May 08, 2017","197.05","186.00","198.60","183.20","19.24M","6.14%"
"May 05, 2017","185.65","186.50","188.90","182.25","7.97M","-0.40%"
"May 04, 2017","186.40","190.60","191.40","183.65","7.12M","-2.05%"
"May 03, 2017","190.30","190.50","193.35","187.10","8.61M","0.50%"
"May 02, 2017","189.35","186.80","192.00","186.05","7.61M","1.80%"
"Apr 28, 2017","186.00","189.50","190.10","184.65","7.48M","-2.00%"
"Apr 27, 2017","189.80","188.45","191.30","184.60","12.26M","1.20%"
"Apr 26, 2017","187.55","194.95","196.85","179.75","18.73M","-3.42%"
"Apr 25, 2017","194.20","193.00","197.45","192.00","16.76M","2.02%"
"Apr 24, 2017","190.35","183.10","194.60","182.55","28.56M","3.76%"
"Apr 21, 2017","183.45","172.55","188.35","170.60","45.01M","6.59%"
"Apr 20, 2017","172.10","170.00","173.25","169.05","9.31M","1.68%"
